date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:58	16516/16516	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2002:00:59%20GMT	https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W.html	(from )
10:00:59	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2028%20Jul%202025%2002:01:00%20GMT	https://www.wolai.com/robots.txt		(from )
10:00:59	16956/16956	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2001:56:31%20GMT	https://www.wolai.com/	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/index.html	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:00:59	23403/23403	---M--	200	added ('OK')	image/png	etag:%22B84C5557D4CAB7F15C9C425E8B323606%22	https://cdn.wostatic.cn/wolai/wolai_og_icon.png	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/wolai/wolai_og_icon.png	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:00:59	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2002:01:00%20GMT	http://www.wolai.com/aplus.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/aplus.2.delayed	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:00	16662/16662	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Jul%202025%2002:01:01%20GMT	https://www.wolai.com/aplus.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/aplus.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:00	995/995	---M--	200	added ('OK')	image/png	etag:%22C14EAA39B72D6A9BC7BBA1E816560E41%22	https://cdn.wostatic.cn/dist/app_icon_128.png	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/app_icon_128.png	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:00	4491/4491	---M--	200	added ('OK')	image/png	etag:%228BFDD9A85517EF450BAA6E7867061688%22	https://cdn.wostatic.cn/dist/app_icon_512.png	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/app_icon_512.png	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:00	11017/11017	---M--	200	added ('OK')	image/png	etag:%22C6BD563313991A0D8D8E7834828330C8%22	https://cdn.wostatic.cn/dist/app_icon_1024.png	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/app_icon_1024.png	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:01	361/361	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Aug%202023%2004:02:07%20GMT	https://img.alicdn.com/imgextra/i3/O1CN01Du15yN1DuuZsvy8g4_!!6000000000277-2-tps-32-32.png	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/img.alicdn.com/imgextra/i3/O1CN01Du15yN1DuuZsvy8g4_!!6000000000277-2-tps-32-32.png	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:01	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2002:01:02%20GMT	http://www.wolai.com/manifest.json	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/manifest.json	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:01	159469/159469	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20Jun%202020%2016:03:46%20GMT	https://cdn.wostatic.cn/dist/lib/bootstrap/4.4.1/css/bootstrap.min.css	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/lib/bootstrap/4.4.1/css/bootstrap.min.css	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:01	43148/43148	---MCZ	200	added ('OK')	application/json	date:Sat,%2026%20Jul%202025%2007:46:38%20GMT	https://www.wolai.com/manifest.json	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/manifest.json	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
